QPS:20000 time:1715686693222  tps:4061.738424  tpsNoError:4061.738424 latency:1075.099600
QPS:20000 time:1715686694477  tps:4078.303426  tpsNoError:4078.303426 latency:1072.086400
QPS:20000 time:1715686695734  tps:4098.360656  tpsNoError:4098.360656 latency:1062.995400
QPS:20000 time:1715686696953  tps:4284.490146  tpsNoError:4284.490146 latency:1017.045200
QPS:20000 time:1715686698275  tps:3878.975950  tpsNoError:3878.975950 latency:1079.302000
QPS:20000 time:1715686699491  tps:4222.972973  tpsNoError:4222.972973 latency:1034.080400
QPS:20000 time:1715686700849  tps:3756.574005  tpsNoError:3756.574005 latency:1138.104000
QPS:20000 time:1715686702212  tps:3767.897513  tpsNoError:3767.897513 latency:1149.795800
QPS:20000 time:1715686703406  tps:4306.632214  tpsNoError:4306.632214 latency:1005.538600
QPS:20000 time:1715686704557  tps:4448.398577  tpsNoError:4448.398577 latency:952.959000
